"payment_id","customer_id","staff_id","rental_id","amount","payment_date","last_update"
40267,174,19,281507,28.30,2010-01-06 14:54:52,2010-01-01 06:47:37
40268,140,5,281508,79.90,2010-01-08 17:03:11,2010-01-01 07:01:16
40269,551,18,281509,63.50,2010-01-05 19:18:06,2010-01-01 07:17:43
40270,50,122,281510,67.10,2010-01-08 21:31:30,2010-01-01 07:28:34
40271,581,3,281511,56.70,2010-01-04 23:24:08,2010-01-01 07:41:26
40272,392,73,281512,44.30,2010-01-08 01:24:43,2010-01-01 07:51:31
40273,192,17,281513,3.80,2010-01-07 08:40:10,2010-01-01 08:04:55
40274,334,76,281514,98.60,2010-01-05 14:30:11,2010-01-01 08:19:14
40275,173,5,281515,61.30,2010-01-08 18:57:20,2010-01-01 08:30:56
40276,521,126,281516,42.30,2010-01-06 23:34:50,2010-01-01 08:42:57
40277,159,123,281520,33.70,2010-01-07 21:43:22,2010-01-01 08:53:35
40278,484,18,281521,26.20,2010-01-09 00:19:03,2010-01-01 09:07:58
40279,76,71,281522,15.90,2010-01-10 04:24:33,2010-01-01 09:19:41
40280,411,65,281523,4.50,2010-01-11 08:52:02,2010-01-01 09:35:21
40281,106,12,281524,32.70,2010-01-08 14:35:07,2010-01-01 09:45:54
40282,454,121,281525,97.20,2010-01-10 21:27:18,2010-01-01 10:01:40
40283,103,12,281526,92.20,2010-01-09 01:51:39,2010-01-01 10:16:30
40284,229,10,281527,95.60,2010-01-09 06:24:13,2010-01-01 10:27:31
40285,317,67,281528,32.80,2010-01-11 09:10:44,2010-01-01 10:39:25
40286,155,20,281529,59.30,2010-01-08 11:58:36,2010-01-01 10:49:28
40287,424,74,281530,80.20,2010-01-10 17:25:16,2010-01-01 11:01:43
40288,245,78,281531,41.80,2010-01-10 20:03:43,2010-01-01 11:13:02
40289,434,5,281532,45.70,2010-01-13 01:44:19,2010-01-01 11:25:53
40290,29,12,281533,14.60,2010-01-13 06:29:32,2010-01-01 11:41:21
40291,404,114,281535,89.00,2010-01-09 15:08:38,2010-01-01 11:51:35
40292,255,8,281536,76.10,2010-01-13 17:26:34,2010-01-01 12:01:40
40293,105,67,281537,58.70,2010-01-11 00:38:36,2010-01-01 12:16:37
40294,449,66,281538,99.30,2010-01-14 01:57:07,2010-01-01 12:31:51
40295,259,121,281539,1.40,2010-01-10 03:49:10,2010-01-01 12:46:45
40296,293,11,281540,83.80,2010-01-10 04:24:50,2010-01-01 13:02:32
40297,169,3,281541,12.10,2010-01-10 05:09:41,2010-01-01 13:15:18
40298,129,19,281542,69.70,2010-01-13 05:53:42,2010-01-01 13:26:00
40299,131,68,281543,26.90,2010-01-10 07:49:37,2010-01-01 13:37:16
40300,432,2,281545,99.40,2010-01-12 10:17:57,2010-01-01 13:47:38
40301,196,76,281546,21.90,2010-01-11 12:05:17,2010-01-01 14:00:15
40302,116,79,281548,37.30,2010-01-13 14:46:49,2010-01-01 14:13:58
40303,559,7,281549,68.50,2010-01-14 15:47:58,2010-01-01 14:27:28
40304,587,5,281550,50.60,2010-01-13 17:04:04,2010-01-01 14:40:03
40305,382,19,281551,16.70,2010-01-14 18:44:21,2010-01-01 14:54:49
40306,44,73,281552,42.80,2010-01-12 21:05:48,2010-01-01 15:10:44
40307,229,6,281553,36.00,2010-01-12 21:50:16,2010-01-01 15:23:00
40308,12,11,281554,9.00,2010-01-14 23:02:21,2010-01-01 15:36:18
40309,173,78,281555,18.10,2010-01-14 23:43:36,2010-01-01 15:46:23
40310,236,1,281557,79.60,2010-01-13 01:34:41,2010-01-01 16:00:19
40311,473,66,281558,22.70,2010-01-13 02:26:21,2010-01-01 16:14:37
40312,57,62,281559,57.90,2010-01-15 04:44:40,2010-01-01 16:25:13
40313,363,122,281560,17.40,2010-01-12 07:04:42,2010-01-01 16:39:30
40314,98,19,281561,64.00,2010-01-15 08:40:29,2010-01-01 16:53:02
40315,188,79,281562,87.10,2010-01-11 09:10:52,2010-01-01 17:05:58
40316,281,12,281563,47.90,2010-01-13 10:16:42,2010-01-01 17:21:18
40317,541,6,281564,85.40,2010-01-12 12:42:40,2010-01-01 17:31:20
40318,215,5,281565,64.30,2010-01-14 15:01:19,2010-01-01 17:47:59
40319,44,16,281568,2.40,2010-01-13 21:11:05,2010-01-01 18:01:33
40320,497,21,281569,11.10,2010-01-13 23:29:21,2010-01-01 18:12:03
40321,451,14,281570,66.30,2010-01-14 01:47:07,2010-01-01 18:26:24
40322,11,65,281571,78.40,2010-01-12 07:42:29,2010-01-01 18:37:21
40323,581,71,281572,37.90,2010-01-16 14:49:31,2010-01-01 18:50:42
40324,379,77,281573,7.30,2010-01-13 19:50:40,2010-01-01 19:04:16
40325,67,119,281574,53.50,2010-01-15 02:09:16,2010-01-01 19:14:27
40326,314,78,281575,77.60,2010-01-13 03:44:03,2010-01-01 19:28:05
40327,529,15,281576,63.50,2010-01-14 08:26:08,2010-01-01 19:43:13
40328,57,75,281577,12.50,2010-01-14 12:31:29,2010-01-01 19:57:32
40329,472,14,281578,46.90,2010-01-14 19:30:17,2010-01-01 20:13:53
40330,158,21,281580,92.80,2010-01-14 03:29:24,2010-01-01 20:27:02
40331,198,74,281581,4.00,2010-01-14 06:27:57,2010-01-01 20:40:20
40332,468,8,281582,26.80,2010-01-16 11:51:24,2010-01-01 20:53:17
40333,15,66,281583,32.50,2010-01-14 18:37:58,2010-01-01 21:06:51
40334,262,6,281584,98.00,2010-01-16 20:14:02,2010-01-01 21:18:41
40335,552,6,281585,94.90,2010-01-17 22:49:36,2010-01-01 21:33:45
40336,363,15,281586,75.00,2010-01-16 05:22:18,2010-01-01 21:44:53
40337,15,122,281587,40.60,2010-01-15 09:11:51,2010-01-01 21:55:24
40338,407,4,281588,72.50,2010-01-16 10:58:35,2010-01-01 22:10:39
40339,278,119,281589,29.80,2010-01-18 14:39:29,2010-01-01 22:22:54
40340,279,15,281590,6.20,2010-01-17 17:17:07,2010-01-01 22:33:43
40341,378,79,281592,13.90,2010-01-19 07:13:31,2010-01-01 22:43:50
40342,160,1,281593,83.80,2010-01-19 11:44:43,2010-01-01 22:57:30
40343,279,71,281594,42.90,2010-01-18 15:51:30,2010-01-01 23:08:48
40344,55,119,281595,54.50,2010-01-16 17:27:16,2010-01-01 23:20:30
40345,347,9,281596,91.50,2010-01-17 20:33:33,2010-01-01 23:32:23
40346,366,62,281597,74.50,2010-01-18 01:41:08,2010-01-01 23:47:10
40347,443,17,281598,3.50,2010-01-17 02:40:30,2010-01-01 23:58:06
40348,547,16,281599,91.20,2010-01-20 03:17:45,2010-01-02 00:10:36
40349,49,8,281600,53.20,2010-01-17 03:58:21,2010-01-02 00:22:35
40350,134,119,281601,32.40,2010-01-19 05:46:24,2010-01-02 00:35:48
40351,246,73,281602,35.60,2010-01-21 06:41:46,2010-01-02 00:46:01
40352,214,9,281603,78.90,2010-01-18 07:41:40,2010-01-02 00:59:01
40353,559,65,281604,78.50,2010-01-20 10:07:00,2010-01-02 01:14:44
40354,135,19,281605,18.00,2010-01-18 12:12:15,2010-01-02 01:31:20
40355,306,69,281606,82.20,2010-01-18 12:41:49,2010-01-02 01:46:45
40356,430,6,281607,68.60,2010-01-17 14:26:47,2010-01-02 02:00:29
40357,174,6,281608,77.50,2010-01-21 15:13:27,2010-01-02 02:10:46
40358,275,15,281609,77.50,2010-01-18 16:23:31,2010-01-02 02:23:29
40359,467,119,281610,13.70,2010-01-21 17:17:47,2010-01-02 02:34:28
40360,94,3,281611,82.80,2010-01-19 18:03:05,2010-01-02 02:47:59
40361,346,5,281612,41.80,2010-01-19 19:36:47,2010-01-02 03:03:23
40362,393,79,281613,22.10,2010-01-19 20:29:05,2010-01-02 03:18:57
40363,409,79,281614,39.00,2010-01-20 21:45:26,2010-01-02 03:34:28
40364,292,71,281615,10.10,2010-01-18 22:41:31,2010-01-02 03:47:40
40365,401,7,281616,87.40,2010-01-22 00:58:08,2010-01-02 04:03:30
40366,60,117,281617,97.90,2010-01-21 02:00:58,2010-01-02 04:15:19
40367,599,16,281618,18.90,2010-01-22 03:10:52,2010-01-02 04:28:42
40368,139,126,281619,61.90,2010-01-22 03:53:38,2010-01-02 04:44:51
40369,509,68,281621,12.70,2010-01-22 05:21:33,2010-01-02 04:58:26
40370,196,3,281623,66.40,2010-01-19 07:32:35,2010-01-02 05:12:46
40371,317,62,281624,76.80,2010-01-20 09:18:39,2010-01-02 05:28:16
40372,418,20,281625,39.90,2010-01-20 10:14:43,2010-01-02 05:40:14
40373,463,115,281627,2.50,2010-01-22 13:31:28,2010-01-02 05:55:06
40374,547,20,281628,39.70,2010-01-22 15:51:09,2010-01-02 06:05:39
40375,587,16,281629,53.50,2010-01-20 16:26:27,2010-01-02 06:17:52
40376,197,19,281630,90.00,2010-01-18 16:56:29,2010-01-02 06:33:41
40377,38,122,281631,62.00,2010-01-21 18:06:21,2010-01-02 06:45:22
40378,543,62,281632,8.80,2010-01-20 19:02:52,2010-01-02 06:55:51
40379,390,122,281633,35.30,2010-01-20 20:56:27,2010-01-02 07:08:09
40380,437,122,281634,6.00,2010-01-22 22:58:32,2010-01-02 07:21:42
40381,283,10,281635,81.50,2010-01-23 00:00:22,2010-01-02 07:37:04
40382,536,8,281636,33.60,2010-01-20 03:28:40,2010-01-02 07:48:25
40383,252,79,281637,42.70,2010-01-19 06:16:46,2010-01-02 08:02:43
40384,410,68,281638,43.70,2010-01-22 13:25:58,2010-01-02 08:16:20
40385,234,81,281639,40.90,2010-01-21 20:41:11,2010-01-02 08:27:16
40386,284,74,281640,83.40,2010-01-22 01:52:08,2010-01-02 08:40:21
40387,325,125,281641,18.30,2010-01-21 08:52:59,2010-01-02 08:54:59
40388,208,121,281642,77.80,2010-01-22 12:58:35,2010-01-02 09:10:51
40389,208,118,281643,26.50,2010-01-22 16:15:01,2010-01-02 09:25:04
40390,7,14,281645,6.40,2010-01-25 05:28:58,2010-01-02 09:40:00
40391,158,119,281646,87.80,2010-01-22 08:50:02,2010-01-02 09:55:07
40392,120,4,281647,45.80,2010-01-22 15:10:45,2010-01-02 10:06:47
40393,154,115,281648,44.60,2010-01-23 19:13:28,2010-01-02 10:17:51
40394,525,5,281649,33.30,2010-01-25 00:13:33,2010-01-02 10:32:00
40395,49,78,281650,54.30,2010-01-22 02:00:41,2010-01-02 10:44:37
40396,1,113,281651,53.40,2010-01-22 08:02:16,2010-01-02 10:55:56
40397,62,125,281652,32.00,2010-01-23 09:37:31,2010-01-02 11:10:52
40398,230,69,281653,79.40,2010-01-24 11:45:18,2010-01-02 11:26:59
40399,593,20,281654,42.40,2010-01-25 15:02:18,2010-01-02 11:43:17
40400,382,126,281655,2.90,2010-01-24 18:46:14,2010-01-02 11:57:14
40401,562,62,281656,71.30,2010-01-27 02:04:47,2010-01-02 12:12:21
40402,400,76,281657,23.90,2010-01-25 06:24:41,2010-01-02 12:25:46
40403,558,121,281658,60.10,2010-01-24 13:27:22,2010-01-02 12:40:35
40404,362,17,281659,44.40,2010-01-25 19:36:52,2010-01-02 12:54:50
40405,221,18,281660,18.60,2010-01-25 01:06:22,2010-01-02 13:06:25
40406,559,121,281661,50.50,2010-01-28 01:51:07,2010-01-02 13:19:34
40407,219,11,281662,40.80,2010-01-24 04:09:05,2010-01-02 13:32:56
40408,150,79,281663,63.40,2010-01-28 05:22:39,2010-01-02 13:47:50
40409,577,14,281665,91.10,2010-01-28 07:41:24,2010-01-02 13:58:22
40410,293,75,281667,64.80,2010-01-24 10:33:15,2010-01-02 14:12:36
40411,211,73,281668,29.90,2010-01-27 12:46:28,2010-01-02 14:28:03
40412,16,120,281669,3.80,2010-01-27 14:32:22,2010-01-02 14:38:11
40413,340,75,281670,25.10,2010-01-26 16:33:42,2010-01-02 14:50:20
40414,222,5,281671,85.60,2010-01-26 18:15:53,2010-01-02 15:01:05
40415,552,123,281672,73.20,2010-01-26 19:01:14,2010-01-02 15:15:13
40416,232,7,281673,65.00,2010-01-28 20:35:44,2010-01-02 15:26:15
40417,512,2,281674,64.20,2010-01-26 22:08:33,2010-01-02 15:42:16
40418,550,121,281675,25.60,2010-01-28 22:41:41,2010-01-02 15:55:28
40419,371,12,281676,60.40,2010-01-25 23:55:10,2010-01-02 16:07:24
40420,58,6,281677,45.70,2010-01-29 01:41:19,2010-01-02 16:20:06
40421,321,119,281678,85.10,2010-01-25 02:24:53,2010-01-02 16:35:43
40422,283,10,281679,84.30,2010-01-27 03:16:14,2010-01-02 16:50:37
40423,576,118,281680,76.80,2010-01-25 03:58:21,2010-01-02 17:06:41
40424,249,6,281681,86.90,2010-01-28 04:56:42,2010-01-02 17:19:26
40425,327,67,281683,63.40,2010-01-28 07:43:38,2010-01-02 17:29:31
40426,545,7,281684,82.20,2010-01-28 09:56:08,2010-01-02 17:44:37
40427,215,78,281686,52.40,2010-01-28 13:28:49,2010-01-02 17:56:43
40428,521,81,281687,71.00,2010-01-25 14:18:08,2010-01-02 18:11:24
40429,385,123,281688,96.30,2010-01-26 16:30:58,2010-01-02 18:22:16
40430,175,12,281689,57.20,2010-01-29 18:28:58,2010-01-02 18:35:10
40431,360,15,281690,30.50,2010-01-25 20:13:47,2010-01-02 18:48:03
40432,249,122,281691,46.70,2010-01-28 22:31:41,2010-01-02 18:58:43
40433,284,74,281692,56.70,2010-01-29 00:02:46,2010-01-02 19:13:54
40434,62,74,281693,9.30,2010-01-26 04:13:28,2010-01-02 19:24:22
40435,23,75,281694,35.00,2010-01-27 06:30:23,2010-01-02 19:37:32
40436,278,66,281695,1.40,2010-01-27 10:06:32,2010-01-02 19:53:41
40437,387,14,281696,22.60,2010-01-30 12:27:51,2010-01-02 20:03:57
40438,282,5,281697,50.50,2010-01-26 17:10:28,2010-01-02 20:19:41
40439,441,118,281698,91.00,2010-01-27 18:47:37,2010-01-02 20:33:53
40440,464,1,281699,76.80,2010-01-26 21:25:32,2010-01-02 20:49:49
40441,134,62,281700,40.40,2010-01-27 01:10:24,2010-01-02 21:06:22
40442,222,71,281701,73.50,2010-01-28 04:35:09,2010-01-02 21:20:38
40443,399,123,281703,88.70,2010-01-27 07:33:33,2010-01-02 21:31:41
40444,251,75,281704,72.20,2010-01-30 11:07:52,2010-01-02 21:47:22
40445,29,8,281705,43.60,2010-01-29 14:21:27,2010-01-02 22:02:08
40446,59,117,281706,44.90,2010-01-27 17:36:11,2010-01-02 22:16:49
40447,344,63,281707,82.80,2010-01-30 19:09:30,2010-01-02 22:31:40
40448,47,75,281708,40.80,2010-01-27 19:56:06,2010-01-02 22:43:42
40449,344,76,281709,87.70,2010-01-31 22:18:24,2010-01-02 22:58:49
40450,356,72,281710,47.40,2010-01-29 00:40:39,2010-01-02 23:09:09
40451,440,117,281711,2.90,2010-01-29 03:14:21,2010-01-02 23:20:23
40452,440,62,281712,68.50,2010-01-31 05:59:51,2010-01-02 23:34:45
40453,385,62,281713,63.70,2010-01-31 09:38:01,2010-01-02 23:47:25
40454,377,9,281714,94.40,2010-01-29 12:44:55,2010-01-03 00:01:11
40455,2,63,281715,23.30,2010-01-30 14:05:33,2010-01-03 00:11:49
40456,258,125,281716,28.30,2010-01-31 15:38:08,2010-01-03 00:22:08
40457,210,17,281717,94.40,2010-01-28 17:53:14,2010-01-03 00:34:18
40458,139,20,281718,5.00,2010-02-01 19:47:33,2010-01-03 00:45:38
40459,340,12,281719,60.30,2010-01-28 22:00:49,2010-01-03 01:00:49
40460,567,2,281720,37.40,2010-01-29 01:36:39,2010-01-03 01:13:22
40461,249,1,281721,44.00,2010-02-02 04:56:47,2010-01-03 01:27:05
40462,392,74,281723,71.20,2010-02-02 08:04:25,2010-01-03 01:37:23
40463,471,126,281724,25.00,2010-02-02 10:19:35,2010-01-03 01:48:18
40464,313,120,281725,60.80,2010-02-02 13:38:16,2010-01-03 01:59:37
40465,362,16,281726,74.90,2010-01-29 15:20:59,2010-01-03 02:15:10
40466,431,63,281727,90.20,2010-01-29 18:07:15,2010-01-03 02:29:15
40467,370,11,281728,66.10,2010-02-02 19:48:59,2010-01-03 02:43:38
40468,41,10,281729,12.40,2010-01-29 23:18:12,2010-01-03 02:58:38
40469,354,16,281730,93.80,2010-02-01 02:56:44,2010-01-03 03:09:47
40470,447,13,281731,41.70,2010-02-01 04:31:00,2010-01-03 03:23:32
40471,388,10,281732,87.60,2010-02-01 05:22:58,2010-01-03 03:35:02
40472,233,6,281733,97.90,2010-02-02 08:01:22,2010-01-03 03:50:15
40473,182,77,281734,73.50,2010-02-03 09:59:47,2010-01-03 04:05:51
40474,486,74,281736,23.60,2010-01-30 14:27:52,2010-01-03 04:19:46
40475,220,64,281737,86.40,2010-01-31 17:32:23,2010-01-03 04:33:55
40476,542,117,281738,9.10,2010-01-30 18:50:43,2010-01-03 04:44:46
40477,153,20,281739,45.50,2010-02-02 21:02:38,2010-01-03 04:59:46
40478,6,70,281741,87.40,2010-02-03 02:12:03,2010-01-03 05:14:16
40479,373,123,281742,28.90,2010-01-31 02:31:08,2010-01-03 05:26:43
40480,548,63,281743,90.80,2010-02-04 03:41:40,2010-01-03 05:42:38
40481,142,71,281745,80.00,2010-01-31 05:18:42,2010-01-03 05:54:29
40482,313,14,281746,52.50,2010-02-03 06:24:17,2010-01-03 06:10:19
40483,104,5,281747,67.70,2010-02-01 06:46:28,2010-01-03 06:22:16
40484,134,67,281748,42.90,2010-01-31 07:56:24,2010-01-03 06:38:16
40485,146,8,281749,47.40,2010-01-31 08:45:10,2010-01-03 06:51:39
40486,395,15,281750,66.60,2010-02-01 09:17:28,2010-01-03 07:03:46
40487,537,78,281751,49.10,2010-02-04 09:44:26,2010-01-03 07:18:22
40488,162,80,281752,21.20,2010-02-04 10:31:14,2010-01-03 07:33:07
40489,593,14,281753,25.80,2010-02-03 11:39:37,2010-01-03 07:44:28
40490,43,78,281755,84.30,2010-02-02 12:51:09,2010-01-03 07:54:54
40491,82,73,281756,16.10,2010-02-03 13:47:48,2010-01-03 08:08:26
40492,394,6,281757,22.30,2010-02-04 14:20:28,2010-01-03 08:24:39
40493,163,76,281759,5.50,2010-02-02 15:58:39,2010-01-03 08:37:26
40494,294,19,281760,5.90,2010-01-31 16:58:20,2010-01-03 08:53:02
40495,352,13,281761,37.40,2010-02-04 17:52:01,2010-01-03 09:08:53
40496,392,121,281762,94.40,2010-02-01 18:21:12,2010-01-03 09:24:05
40497,289,76,281763,22.00,2010-02-01 19:32:29,2010-01-03 09:37:44
40498,577,75,281764,9.20,2010-02-03 20:26:48,2010-01-03 09:51:29
40499,279,120,281765,78.30,2010-02-02 20:57:40,2010-01-03 10:02:59
40500,66,17,281766,84.90,2010-02-01 21:53:48,2010-01-03 10:17:11
40501,520,20,281767,83.90,2010-02-02 22:37:21,2010-01-03 10:31:57
40502,295,119,281768,75.40,2010-01-31 23:30:33,2010-01-03 10:48:11
40503,498,2,281769,36.70,2010-02-01 00:37:14,2010-01-03 11:01:08
40504,294,63,281770,93.60,2010-02-05 00:57:00,2010-01-03 11:14:39
40505,500,2,281771,25.50,2010-02-01 01:57:39,2010-01-03 11:27:16
40506,451,66,281772,81.30,2010-02-05 02:27:28,2010-01-03 11:41:34
40507,566,6,281773,34.00,2010-02-02 03:12:20,2010-01-03 11:57:54
40508,233,121,281774,32.90,2010-02-01 04:13:18,2010-01-03 12:13:22
40509,415,5,281775,43.80,2010-02-04 05:05:32,2010-01-03 12:26:28
40510,566,74,281776,22.80,2010-02-03 05:31:01,2010-01-03 12:38:52
40511,67,74,281777,24.30,2010-02-04 06:14:28,2010-01-03 12:50:04
40512,7,5,281778,71.90,2010-02-05 07:10:17,2010-01-03 13:03:17
40513,336,123,281779,21.80,2010-02-01 07:40:03,2010-01-03 13:15:23
40514,103,81,281780,46.80,2010-02-05 08:24:23,2010-01-03 13:28:56
40515,409,16,281781,74.00,2010-02-02 09:09:29,2010-01-03 13:43:06
40516,134,122,281782,69.20,2010-02-03 10:21:10,2010-01-03 13:57:22
40517,454,63,281783,78.50,2010-02-03 11:23:12,2010-01-03 14:10:00
40518,133,62,281785,1.20,2010-02-02 12:53:03,2010-01-03 14:25:08
40519,395,115,281786,61.00,2010-02-03 13:21:05,2010-01-03 14:38:05
40520,553,6,281787,3.80,2010-02-05 14:06:59,2010-01-03 14:53:14
40521,301,13,281788,14.70,2010-02-02 15:09:50,2010-01-03 15:06:25
40522,229,16,281789,10.00,2010-02-03 16:09:04,2010-01-03 15:21:39
40523,384,3,281792,77.00,2010-02-02 18:23:09,2010-01-03 15:32:14
40524,61,121,281793,32.10,2010-02-03 19:18:10,2010-01-03 15:45:26
40525,132,17,281794,23.10,2010-02-03 20:29:56,2010-01-03 16:01:15
40526,349,122,281795,34.80,2010-02-05 21:15:48,2010-01-03 16:12:18
40527,277,65,281796,82.70,2010-02-04 21:39:25,2010-01-03 16:25:10
40528,116,118,281797,9.10,2010-02-04 22:44:09,2010-01-03 16:37:34
40529,327,14,281798,91.20,2010-02-01 23:49:10,2010-01-03 16:53:28
40530,496,76,281799,49.10,2010-02-05 01:00:19,2010-01-03 17:07:27
40531,196,68,281800,77.90,2010-02-04 06:07:58,2010-01-03 17:23:31
40532,275,76,281801,39.00,2010-02-06 10:13:48,2010-01-03 17:38:47
40533,385,76,281802,72.50,2010-02-06 16:20:34,2010-01-03 17:52:14
40534,167,1,281803,20.50,2010-02-04 23:11:20,2010-01-03 18:05:31
40535,173,12,281805,15.10,2010-02-06 06:37:49,2010-01-03 18:21:17
40536,154,71,281806,56.10,2010-02-06 08:14:37,2010-01-03 18:35:26
40537,279,20,281807,1.20,2010-02-04 14:39:15,2010-01-03 18:49:21
40538,391,14,281808,94.10,2010-02-06 20:17:40,2010-01-03 19:03:57
40539,285,73,281809,7.90,2010-02-04 03:10:38,2010-01-03 19:18:51
40540,470,16,281810,16.80,2010-02-07 06:24:31,2010-01-03 19:29:18
40541,348,63,281811,54.20,2010-02-07 09:12:04,2010-01-03 19:39:22
40542,94,67,281812,30.60,2010-02-06 13:35:50,2010-01-03 19:53:46
40543,79,72,281813,84.60,2010-02-04 17:58:41,2010-01-03 20:03:50
40544,495,8,281814,4.70,2010-02-04 19:52:41,2010-01-03 20:20:16
40545,312,63,281815,26.10,2010-02-09 02:25:56,2010-01-03 20:33:08
40546,206,2,281816,31.30,2010-02-09 08:22:31,2010-01-03 20:43:24
40547,412,79,281817,87.70,2010-02-05 12:08:28,2010-01-03 20:59:08
40548,365,121,281818,2.70,2010-02-08 19:19:14,2010-01-03 21:09:53
40549,212,15,281819,86.10,2010-02-06 02:02:20,2010-01-03 21:24:03
40550,152,62,281820,77.80,2010-02-10 07:51:22,2010-01-03 21:36:26
40551,395,69,281821,31.10,2010-02-08 14:41:15,2010-01-03 21:50:58
40552,492,76,281822,27.20,2010-02-06 20:38:58,2010-01-03 22:01:25
40553,65,63,281823,2.40,2010-02-09 02:21:05,2010-01-03 22:15:05
40554,31,8,281824,67.50,2010-02-11 03:33:45,2010-01-03 22:27:44
40555,302,62,281825,64.30,2010-02-09 04:40:01,2010-01-03 22:41:36
40556,222,126,281826,94.50,2010-02-11 06:41:23,2010-01-03 22:52:33
40557,443,15,281827,43.80,2010-02-09 08:02:43,2010-01-03 23:09:06
40558,575,72,281828,58.10,2010-02-11 08:39:22,2010-01-03 23:21:42
40559,224,119,281829,43.00,2010-02-07 09:56:27,2010-01-03 23:37:30
40560,391,10,281830,34.20,2010-02-09 10:26:15,2010-01-03 23:49:45
40561,365,122,281831,80.30,2010-02-07 11:51:10,2010-01-04 00:02:06
40562,140,5,281832,20.70,2010-02-07 13:23:31,2010-01-04 00:14:27
40563,84,68,281833,41.30,2010-02-09 15:38:29,2010-01-04 00:29:57
40564,284,17,281834,8.00,2010-02-07 16:50:42,2010-01-04 00:43:53
40565,256,79,281835,93.90,2010-02-10 18:54:14,2010-01-04 00:56:55
40566,14,2,281837,27.90,2010-02-08 21:18:55,2010-01-04 01:08:33
40567,284,12,281838,38.80,2010-02-08 22:50:58,2010-01-04 01:23:41
40568,182,123,281839,18.40,2010-02-11 00:59:30,2010-01-04 01:33:42
40569,143,121,281840,72.20,2010-02-08 02:13:18,2010-01-04 01:43:51
40570,186,114,281842,6.20,2010-02-12 06:01:15,2010-01-04 01:55:24
40571,238,12,281844,14.70,2010-02-11 09:37:49,2010-01-04 02:09:50
40572,168,74,281845,63.00,2010-02-08 11:14:31,2010-01-04 02:21:20
40573,90,114,281846,87.80,2010-02-10 12:43:39,2010-01-04 02:33:55
40574,41,124,281847,61.80,2010-02-11 13:20:47,2010-01-04 02:50:17
40575,347,118,281848,41.60,2010-02-09 15:08:46,2010-01-04 03:02:41
40576,297,71,281849,24.90,2010-02-09 16:27:10,2010-01-04 03:14:00
40577,500,114,281850,76.30,2010-02-11 17:38:32,2010-01-04 03:27:37
40578,199,79,281851,23.40,2010-02-09 20:03:26,2010-01-04 03:39:15
40579,533,15,281853,2.80,2010-02-09 21:26:24,2010-01-04 03:54:20
40580,538,72,281854,24.90,2010-02-09 22:06:40,2010-01-04 04:10:19
40581,164,5,281855,53.90,2010-02-12 00:21:21,2010-01-04 04:21:07
40582,460,80,281856,88.50,2010-02-10 03:04:32,2010-01-04 04:35:47
40583,542,79,281857,98.00,2010-02-09 08:12:36,2010-01-04 04:46:24
40584,474,16,281858,89.60,2010-02-10 11:13:36,2010-01-04 05:00:49
